image,width,height
https://www.e-rara.ch/zuz/i3f/v20/16165941,2331,2001
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720857,4470,4695
https://www.e-rara.ch/zuz/i3f/v20/16194795,4685,2614
https://www.e-rara.ch/zuz/i3f/v20/16165946,3352,3343
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2809416,2842,2521
https://www.e-rara.ch/zuz/i3f/v20/16165951,2428,2456
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720862,4523,4550
https://www.e-rara.ch/zuz/i3f/v20/16194800,3853,3349
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720876,2921,2515
https://www.e-rara.ch/zuz/i3f/v20/16194805,3880,2712
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1692372,3494,3815
https://www.e-rara.ch/zuz/i3f/v20/16194810,3873,2705
https://www.e-rara.ch/zuz/i3f/v20/16194815,5081,5122
https://www.e-rara.ch/zuz/i3f/v20/16194820,5442,5256
https://www.e-rara.ch/zuz/i3f/v20/16392756,4615,4583
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720881,2986,2628
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720885,2944,2596
https://www.e-rara.ch/zuz/i3f/v20/16194825,2591,2308
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720890,5409,4682
https://www.e-rara.ch/zuz/i3f/v20/16392761,4077,3697
https://www.e-rara.ch/zuz/i3f/v20/16194830,2572,2447
https://www.e-rara.ch/zuz/i3f/v20/16194835,2159,1997
https://www.e-rara.ch/zuz/i3f/v20/16194840,4072,3701
https://www.e-rara.ch/zuz/i3f/v20/16392766,3775,3636
https://www.e-rara.ch/zuz/i3f/v20/16392771,3784,3566
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720899,2767,2470
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720931,2981,2591
https://www.e-rara.ch/zuz/i3f/v20/16165956,3716,3802
https://www.e-rara.ch/zuz/i3f/v20/16165961,4451,4353
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716715,2990,2633
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716719,3004,2624
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716724,1881,1853
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716728,1908,1867
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716732,2289,1927
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716737,2976,2642
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716741,1788,1658
https://www.e-rara.ch/zuz/i3f/v20/16165967,2331,2011
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716746,4825,4767
https://www.e-rara.ch/zuz/i3f/v20/16165971,3859,3394
https://www.e-rara.ch/zuz/i3f/v20/16165976,2289,1978
https://www.e-rara.ch/zuz/i3f/v20/16165981,2684,2498
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716750,3817,3339
https://www.e-rara.ch/zuz/i3f/v20/16165986,3794,4021
https://www.e-rara.ch/zuz/i3f/v20/16165991,2113,2350
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716755,5045,4423
https://www.e-rara.ch/zuz/i3f/v20/16165996,5416,5016
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716760,2600,2976
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716765,2600,2976
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717287,2967,2619
https://www.e-rara.ch/zuz/i3f/v20/16166006,2558,2345
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717293,2623,3009
https://www.e-rara.ch/zuz/i3f/v20/16166011,2498,2155
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717297,2623,3009
https://www.e-rara.ch/zuz/i3f/v20/16166015,2540,2359
https://www.e-rara.ch/zuz/i3f/v20/16166020,1792,1862
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717301,2623,3009
https://www.e-rara.ch/zuz/i3f/v20/16166025,2995,2670
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717306,2986,2619
https://www.e-rara.ch/zuz/i3f/v20/16166030,2368,2243
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717311,2619,2990
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717316,2619,2990
https://www.e-rara.ch/zuz/i3f/v20/16166034,4070,4176
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717321,2990,2610
https://www.e-rara.ch/zuz/i3f/v20/16166039,4930,4905
https://www.e-rara.ch/zuz/i3f/v20/16166044,3952,4169
https://www.e-rara.ch/zuz/i3f/v20/16166048,5219,4970
https://www.e-rara.ch/zuz/i3f/v20/16166053,2512,2424
https://www.e-rara.ch/zuz/i3f/v20/16166058,2489,2470
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1706153,5285,5052
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717326,2972,2633
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717331,2600,3004
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717335,2600,3004
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717340,2995,2610
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717344,2610,2976
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720903,1788,1890
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720908,2986,2628
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717348,2753,2252
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717353,2740,2275
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717357,3000,2656
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1717362,3000,2656
https://www.e-rara.ch/zuz/i3f/v20/16392776,1987,2582
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720912,2145,2563
https://www.e-rara.ch/zuz/i3f/v20/16392780,2275,2712
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720917,2558,2995
https://www.e-rara.ch/zuz/i3f/v20/16392785,1546,1667
https://www.e-rara.ch/zuz/i3f/v20/16392790,5737,5496
https://www.e-rara.ch/zuz/i3f/v20/16392795,6263,5778
https://www.e-rara.ch/zuz/i3f/v20/16258937,6482,5962
https://www.e-rara.ch/zuz/i3f/v20/16166063,2744,2670
https://www.e-rara.ch/zuz/i3f/v20/16258943,2271,1981
https://www.e-rara.ch/zuz/i3f/v20/16258947,1910,2583
https://www.e-rara.ch/zuz/i3f/v20/16166068,2721,2703
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720921,2948,2605
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720926,2986,2605
https://www.e-rara.ch/zuz/i3f/v20/16166073,2363,1955
https://www.e-rara.ch/zuz/i3f/v20/16166077,2442,1936
https://www.e-rara.ch/zuz/i3f/v20/16258953,2667,2828
https://www.e-rara.ch/zuz/i3f/v20/16166082,2470,2354
https://www.e-rara.ch/zuz/i3f/v20/16258957,2651,2833
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716792,1857,1997
